time, ldr, temp, tsl2561, bh1750
461,3312,32.2,68,75
463,3339,32.3,73,75
465,3350,32.2,76,74.17
467,3331,32.2,73,75
469,3312,32.2,69,75
471,3301,32.2,68,75
473,3322,32.2,70,75
475,3346,32.2,75,75.83
477,3353,32.2,76,75.83
479,3338,32.2,73,75.83
481,3317,32.2,69,75.83
483,3298,32.3,67,75
485,3313,32.3,69,75
487,3334,32.2,73,75
489,3355,32.3,76,75
492,3344,32.2,75,74.17
494,3327,32.2,70,75
496,3306,32.2,67,75
498,3311,32.3,69,75
500,3335,32.2,73,75
502,3355,32.2,76,75
504,3343,32.3,73,75.83
506,3313,32.3,69,75.83
508,3305,32.2,67,75.83
510,3347,32.3,70,75.83
512,3349,32.3,76,75.83
514,3330,32.3,74,75.83
516,3312,32.3,69,75.83
518,3303,32.2,68,75.83
520,3335,32.2,72,75.83
522,3354,32.2,76,75
524,3332,32.3,72,75
526,3310,32.3,68,75
528,3307,32.3,69,75
530,3341,32.3,73,75
533,3351,32.3,76,75
535,3329,32.2,71,74.17
537,3308,32.2,67,75
539,3315,32.2,70,74.17
541,3353,32.3,76,75
543,3339,32.3,73,74.17
545,3301,32.2,67,74.17
547,3322,32.3,70,75
549,3343,32.3,76,74.17
551,3329,32.3,71,75
553,3302,32.3,67,75
555,3329,32.3,72,75
557,3349,32.3,76,75
559,3314,32.3,69,75
561,3312,32.2,68,75.83
563,3344,32.2,74,75
565,3335,32.2,76,75.83
567,3321,32.2,70,75.83
569,3306,32.3,67,75
571,3328,32.3,71,75
574,3349,32.3,76,75
576,3345,32.3,74,75
578,3315,32.3,70,75
580,3303,32.3,67,75
582,3316,32.2,69,75
584,3344,32.3,74,74.17
586,3349,32.3,76,74.17
588,3335,32.3,72,74.17
590,3307,32.3,68,75
592,3308,32.3,68,74.17
596,3354,32.3,76,74.17
598,3331,32.3,72,75
600,3311,32.3,68,75
602,3311,32.3,68,75
604,3334,32.2,71,75
606,3347,32.3,76,75.83
608,3345,32.3,75,75.83
612,3303,32.3,67,75.83
615,3313,32.3,69,75.83
617,3345,32.2,75,75.83
619,3344,32.3,75,75.83
621,3313,32.3,69,75
623,3305,32.3,68,75
625,3312,32.3,73,75
627,3353,32.3,76,75
629,3306,32.3,70,75
631,3301,32.3,67,75
633,3338,32.3,72,75
635,3354,32.3,76,75
637,3323,32.3,70,75
639,3298,32.3,67,75
641,3335,32.3,72,75
643,3350,32.3,76,75
645,3317,32.3,69,75.83
647,3303,32.3,68,75.83
649,3347,32.3,75,75.83
651,3338,32.3,73,75.83
653,3305,32.3,67,75
656,3342,32.3,73,75
658,3348,32.3,74,75
660,3303,32.3,67,74.17
662,3329,32.3,72,74.17
664,3345,32.3,75,75
666,3307,32.3,68,75
668,3332,32.3,71,75
670,3344,32.3,75,75.83
672,3307,32.3,68,75.83
674,3331,32.3,71,75
676,3343,32.3,74,75
678,3303,32.3,67,74.17
680,3344,32.3,74,74.17
682,3337,32.3,72,74.17
684,3308,32.3,68,75
686,3346,32.3,75,75.83
688,3314,32.3,69,75
690,3322,32.3,70,75
692,3343,32.3,74,74.17
694,3306,32.3,67,75
697,3344,32.3,76,75
699,3308,32.3,69,75.83
701,3334,32.3,72,75
703,3328,32.3,71,74.17
705,3325,32.3,70,75
707,3325,32.3,71,75.83
709,3333,32.3,71,75.83
711,3317,32.3,70,75
713,3342,32.3,73,75
715,3314,32.3,69,75.83
717,3350,32.3,75,75
719,3301,32.3,67,75
721,3354,32.3,76,75.83
723,3307,32.3,68,75
725,3347,32.3,75,74.17
727,3309,32.3,69,75.83
729,3347,32.3,75,75.83
731,3311,32.3,69,74.17
733,3346,32.3,75,75
735,3308,32.3,69,75.83
738,3347,32.3,75,75
740,3313,32.3,69,74.17
742,3342,32.3,74,75
744,3312,32.3,69,75.83
746,3341,32.3,74,75
748,3315,32.3,69,74.17
750,3341,32.3,73,75
752,3323,32.3,70,75.83
754,3333,32.3,71,74.17
756,3335,32.3,72,75
758,3312,32.3,69,75.83
760,3349,32.3,76,74.17
762,3302,32.2,67,75
764,3344,32.3,74,75
766,3322,32.3,70,74.17
768,3319,32.3,70,75.83
770,3345,32.3,75,75
772,3303,32.2,67,74.17
774,3369,32.2,76,75.83
776,3315,32.2,69,75
779,3343,32.3,71,75
781,3341,32.3,72,75.83
783,3312,32.3,69,75
785,3345,32.3,76,75
787,3302,32.3,67,75.83
789,3351,32.2,76,74.17
791,3312,32.3,69,75
793,3338,32.2,73,75
795,3324,32.3,70,74.17
797,3319,32.3,70,74.17
799,3339,32.3,74,75
801,3307,32.3,68,75
803,3345,32.2,76,74.17
805,3303,32.3,67,75
807,3353,32.3,76,75.83
809,3305,32.3,68,75
811,3350,32.3,75,75
813,3312,32.3,69,75.83
815,3343,32.3,74,75
817,3315,32.3,69,75
820,3341,32.3,73,75.83
822,3323,32.3,70,75
824,3332,32.2,72,74.17
826,3326,32.3,70,75
828,3320,32.2,72,75.83
830,3325,32.3,70,75
832,3332,32.3,71,74.17
834,3335,32.3,71,75
836,3326,32.3,70,75.83
838,3342,32.3,73,74.17
840,3312,32.3,69,75
842,3351,32.3,76,75.83
844,3298,32.3,67,75
846,3349,32.3,76,75
848,3324,32.3,69,75.83
850,3342,32.3,74,75
852,3330,32.3,70,75
854,3323,32.3,70,75.83
856,3339,32.3,74,75
858,3307,32.3,68,75
861,3354,32.2,76,75.83
863,3306,32.3,67,75
865,3347,32.3,75,75
867,3318,32.3,70,75.83
869,3328,32.2,70,75
871,3342,32.2,73,75
873,3309,32.3,69,75.83
875,3349,32.3,76,75
877,3303,32.2,67,75
879,3353,32.3,76,75.83
881,3305,32.3,67,75
883,3350,32.3,76,75
885,3299,32.3,68,74.17
887,3349,32.3,76,75
889,3303,32.3,67,75.83
891,3351,32.2,76,75
893,3305,32.3,68,75
895,3344,32.3,75,75
897,3322,32.3,70,75.83
899,3321,32.3,69,75.83
902,3350,32.3,76,75.83
904,3307,32.3,68,75
906,3339,32.3,73,74.17
908,3330,32.2,72,75
910,3307,32.2,68,75
912,3353,32.3,76,75.83
914,3309,32.3,68,75.83
916,3339,32.3,73,75
918,3328,32.3,71,74.17
920,3321,32.3,70,75
922,3342,32.3,74,75.83
924,3311,32.3,68,75
926,3350,32.3,75,74.17
928,3308,32.3,68,75
930,3353,32.3,76,75.83
932,3305,32.3,68,75
934,3347,32.2,76,74.17
936,3305,32.3,68,75
938,3349,32.3,75,75.83
940,3306,32.3,68,75
943,3346,32.3,75,75
945,3314,32.3,69,75
947,3343,32.3,74,75.83
949,3319,32.2,70,74.17
951,3334,32.2,72,75
953,3328,32.3,70,75.83
955,3318,32.3,70,75
957,3341,32.3,73,75
959,3310,32.3,69,75.83
961,3353,32.2,76,75
963,3307,32.3,67,75
965,3355,32.3,76,75.83
967,3302,32.3,67,75
969,3351,32.2,76,75
971,3311,32.3,68,74.17
973,3341,32.3,74,75
975,3318,32.3,70,75
977,3328,32.2,72,74.17
979,3327,32.3,70,75
981,3327,32.3,71,75.83
984,3333,32.3,72,75
986,3322,32.3,70,74.17
988,3342,32.3,73,75.83
990,3312,32.3,69,75
992,3344,32.2,74,74.17
994,3312,32.2,69,75
996,3344,32.3,74,75.83
998,3314,32.3,69,75
1000,3344,32.3,74,74.17
1002,3317,32.3,70,75
1004,3338,32.2,73,75.83
1006,3319,32.2,70,75
1008,3335,32.3,72,75
1010,3323,32.2,70,75
1012,3325,32.3,70,75.83
1014,3338,32.2,72,75
1016,3317,32.3,69,74.17
1018,3339,32.3,73,75
1020,3312,32.3,69,75.83
